S.No,Time,Cycle,Lo-V,Hi-V,V-rise,Intensify,P-rise,Biscuit_Thick,Cast pressure,Cycle Time,,,
54,14:46:14,5030114,0.26,3.91,24,236,51,21,944,00:00:48,,,
55,14:47:03,5030115,0.26,3.88,24,237,52,20,948,00:00:49,,,
56,14:47:52,5030116,0.26,4.17,22,236,49,22,944,00:00:49,,,
57,14:48:41,5030117,0.26,3.92,23,237,51,19,948,00:00:49,,,
58,14:49:29,5030118,0.26,3.69,23,237,47,21,948,00:00:48,,,
59,14:50:18,5030119,0.26,3.92,22,236,48,18,944,00:00:49,,,
60,14:51:06,5030120,0.26,4.02,23,236,39,21,944,00:00:48,,,
61,14:51:55,5030121,0.26,4.15,25,236,51,21,944,00:00:49,,,
62,15:04:10,5030122,0.25,0.25,1,75,1,36,300,00:12:15,,,
63,15:05:08,5030123,0.25,0.25,1,106,1,42,424,00:00:58,,,
64,15:05:47,5030124,0.26,4.15,22,234,55,19,936,00:00:39,,,
65,15:06:36,5030125,0.26,3.98,22,236,50,21,944,00:00:49,,,
66,15:09:17,5030126,0.26,4.15,22,232,53,17,928,00:02:41,,,
67,15:10:05,5030127,0.26,4.17,23,237,45,14,948,00:00:48,,,
68,15:10:54,5030128,0.26,4.08,22,237,49,16,948,00:00:49,,,
69,15:11:43,5030129,0.26,4.05,22,237,51,18,948,00:00:49,,,
70,15:12:32,5030130,0.26,4.05,21,237,42,18,948,00:00:49,,,
71,15:13:20,5030131,0.26,4.23,21,238,42,20,952,00:00:48,,,
72,15:14:09,5030132,0.26,3.71,21,238,48,22,952,00:00:49,,,
73,15:14:57,5030133,0.26,3.9,22,237,50,20,948,00:00:48,,,
74,15:15:46,5030134,0.26,3.94,22,237,39,21,948,00:00:49,,,
75,15:16:34,5030135,0.26,3.92,23,237,37,20,948,00:00:48,,,
76,15:17:23,5030136,0.26,3.81,22,238,41,22,952,00:00:49,,,
77,15:18:12,5030137,0.26,4,23,237,53,21,948,00:00:49,,,
78,15:19:00,5030138,0.26,3.99,22,237,51,21,948,00:00:48,,,
79,15:19:49,5030139,0.26,4.15,22,238,50,20,952,00:00:49,,,
80,15:20:38,5030140,0.26,4,22,237,50,21,948,00:00:49,,,
81,15:21:26,5030141,0.26,4.13,23,237,33,17,948,00:00:48,,,
82,15:22:15,5030142,0.26,4.13,23,236,37,18,944,00:00:49,,,
83,15:23:04,5030143,0.26,4.06,24,237,52,21,948,00:00:49,,,
84,15:23:53,5030144,0.26,4.1,23,235,51,19,940,00:00:49,,,
85,15:24:41,5030145,0.26,4.05,21,237,48,16,948,00:00:48,,,
86,15:25:30,5030146,0.26,3.99,22,237,46,18,948,00:00:49,,,
87,15:27:04,5030147,0.26,4.05,23,238,44,14,952,00:01:34,,,
88,15:27:53,5030148,0.26,4.09,24,236,55,9,944,00:00:49,,,
89,15:29:55,5030149,0.26,3.9,23,235,54,20,940,00:02:02,,,
90,15:30:45,5030150,0.26,4.22,23,237,52,17,948,00:00:50,,,
91,15:31:33,5030151,0.26,4.21,24,238,47,17,952,00:00:48,,,
92,15:32:22,5030152,0.26,3.9,24,237,48,20,948,00:00:49,,,
93,15:33:10,5030153,0.26,3.92,20,237,39,21,948,00:00:48,,,
94,15:33:59,5030154,0.26,3.97,21,237,42,20,948,00:00:49,,,
95,15:34:47,5030155,0.26,3.68,23,237,42,20,948,00:00:48,,,
96,15:35:37,5030156,0.26,4.06,24,237,52,17,948,00:00:50,,,
97,15:37:33,5030157,0.26,0.26,4,80,14,3,320,00:01:56,,,
98,15:38:25,5030158,0.26,4.33,24,234,41,18,936,00:00:52,,,
99,15:39:14,5030159,0.26,4.22,24,237,39,18,948,00:00:49,,,
100,15:40:03,5030160,0.26,3.89,22,236,50,22,944,00:00:49,,,
101,15:40:51,5030161,0.26,3.99,21,237,39,20,948,00:00:48,,,
102,15:41:40,5030162,0.26,4.45,23,236,53,21,944,00:00:49,,,
103,15:42:29,5030163,0.26,4.08,25,236,41,19,944,00:00:49,,,
104,15:43:17,5030164,0.26,3.81,22,234,48,19,936,00:00:48,,,
105,15:44:06,5030165,0.26,4.04,21,236,45,19,944,00:00:49,,,
106,15:44:54,5030166,0.26,3.7,21,237,43,20,948,00:00:48,,,
107,15:45:43,5030167,0.26,4.22,22,236,55,17,944,00:00:49,,,
108,15:46:32,5030168,0.26,4.13,22,237,49,19,948,00:00:49,,,
109,15:47:20,5030169,0.26,3.7,20,237,50,20,948,00:00:48,,,
110,15:48:09,5030170,0.26,4.06,23,237,46,17,948,00:00:49,,,
111,15:48:57,5030171,0.26,3.9,22,236,41,17,944,00:00:48,,,
112,15:49:46,5030172,0.26,4.11,23,235,52,17,940,00:00:49,,,
113,15:50:34,5030173,0.26,4,21,236,48,20,944,00:00:48,,,
114,15:51:23,5030174,0.26,4.06,23,237,44,19,948,00:00:49,,,
115,15:52:12,5030175,0.26,4.17,24,236,40,18,944,00:00:49,,,
116,15:53:01,5030176,0.26,4.07,22,234,50,18,936,00:00:49,,,
117,15:53:49,5030177,0.26,3.57,24,237,55,21,948,00:00:48,,,
118,15:54:38,5030178,0.26,3.32,25,237,47,21,948,00:00:49,,,
119,15:55:26,5030179,0.26,3.56,20,237,42,23,948,00:00:48,,,
120,15:56:15,5030180,0.26,3.87,21,236,52,19,944,00:00:49,,,
121,15:57:04,5030181,0.26,4.16,23,236,44,23,944,00:00:49,,,
122,15:57:52,5030182,0.26,3.99,24,235,38,20,940,00:00:48,,,
123,15:58:41,5030183,0.26,3.74,24,235,50,22,940,00:00:49,,,
124,15:59:30,5030184,0.26,3.7,22,236,50,19,944,00:00:49,,,
125,16:00:18,5030185,0.26,4.25,25,228,56,14,912,00:00:48,,,
126,16:01:06,5030186,0.26,3.92,21,237,53,23,948,00:00:48,,,
127,16:01:55,5030187,0.26,4.11,25,235,53,20,940,00:00:49,,,
128,16:02:44,5030188,0.26,4.24,22,236,55,23,944,00:00:49,,,
129,16:03:33,5030189,0.26,3.98,24,236,39,20,944,00:00:49,,,
130,16:04:22,5030190,0.26,3.7,21,236,52,22,944,00:00:49,,,
131,16:05:11,5030191,0.26,3.57,23,236,59,23,944,00:00:49,,,
132,16:06:00,5030192,0.25,3.95,23,236,53,18,944,00:00:49,,,
133,16:06:48,5030193,0.26,3.86,24,237,37,18,948,00:00:48,,,
134,16:07:37,5030194,0.25,4.05,23,237,38,17,948,00:00:49,,,
135,16:08:26,5030195,0.26,4.13,24,237,47,14,948,00:00:49,,,
136,16:09:14,5030196,0.26,4.08,22,236,54,13,944,00:00:48,,,
137,16:10:03,5030197,0.26,4.08,21,236,36,18,944,00:00:49,,,
138,16:12:19,5030198,0.26,3.99,24,236,45,20,944,00:02:16,,,
139,16:13:08,5030199,0.26,4.07,25,236,50,17,944,00:00:49,,,
140,16:13:56,5030200,0.26,4.15,22,236,47,16,944,00:00:48,,,
141,16:14:45,5030201,0.26,4.2,21,236,51,19,944,00:00:49,,,
142,16:15:52,5030202,0.26,3.99,23,237,46,15,948,00:01:07,,,
143,16:16:41,5030203,0.26,4.22,25,236,42,15,944,00:00:49,,,
144,16:17:30,5030204,0.26,4.14,22,237,45,16,948,00:00:49,,,
145,16:18:18,5030205,0.26,4.14,25,238,45,14,952,00:00:48,,,
146,16:19:06,5030206,0.26,4.13,25,232,48,15,928,00:00:48,,,
147,16:19:55,5030207,0.25,4.14,23,235,39,17,940,00:00:49,,,
148,16:20:44,5030208,0.26,4.08,22,237,33,17,948,00:00:49,,,
149,16:21:32,5030209,0.26,4.12,23,237,43,17,948,00:00:48,,,
150,16:22:21,5030210,0.26,3.91,21,237,37,19,948,00:00:49,,,
151,16:23:10,5030211,0.26,4.32,23,237,53,16,948,00:00:49,,,
152,16:23:58,5030212,0.26,4,23,237,50,17,948,00:00:48,,,
153,16:24:47,5030213,0.26,4.16,23,237,37,18,948,00:00:49,,,
154,16:28:52,5030218,0.26,3.85,20,236,39,19,944,00:04:05,,,
155,16:29:39,5030219,0.26,4.1,23,237,37,16,948,00:00:47,,,
156,16:30:27,5030220,0.26,4.11,23,236,40,14,944,00:00:48,,,
157,16:31:16,5030221,0.26,4.24,24,237,43,14,948,00:00:49,,,
158,16:32:05,5030222,0.26,4.12,22,236,41,14,944,00:00:49,,,
159,16:32:53,5030223,0.26,4.07,24,237,52,21,948,00:00:48,,,
160,16:33:42,5030224,0.26,3.14,22,235,41,20,940,00:00:49,,,
161,16:34:31,5030225,0.26,4.06,23,236,48,16,944,00:00:49,,,
162,16:35:19,5030226,0.26,3.71,22,236,43,19,944,00:00:48,,,
163,16:36:08,5030227,0.26,3.89,25,237,48,21,948,00:00:49,,,
164,16:36:56,5030228,0.26,4.07,24,236,41,15,944,00:00:48,,,
165,16:37:45,5030229,0.26,4.21,26,236,52,16,944,00:00:49,,,
166,16:38:34,5030230,0.26,3.9,22,236,44,21,944,00:00:49,,,
167,16:39:22,5030231,0.26,3.74,22,236,55,21,944,00:00:48,,,
168,16:40:11,5030232,0.26,3.83,21,231,56,11,924,00:00:49,,,
169,16:40:59,5030233,0.26,3.48,23,235,40,18,940,00:00:48,,,
170,16:41:48,5030234,0.26,3.89,21,236,35,17,944,00:00:49,,,
171,16:42:37,5030235,0.26,4.14,24,235,47,12,940,00:00:49,,,
172,16:43:25,5030236,0.26,4.05,21,234,52,10,936,00:00:48,,,
173,16:44:14,5030237,0.26,4,22,234,60,10,936,00:00:49,,,
174,16:45:03,5030238,0.26,4.14,24,234,49,10,936,00:00:49,,,
175,16:45:51,5030239,0.26,4.05,22,236,53,21,944,00:00:48,,,
176,16:46:40,5030240,0.25,3.96,23,236,40,16,944,00:00:49,,,
177,16:47:29,5030241,0.26,4.19,23,234,52,14,936,00:00:49,,,
178,16:48:17,5030242,0.26,3.91,22,237,50,20,948,00:00:48,,,
179,16:49:06,5030243,0.26,3.63,22,237,35,20,948,00:00:49,,,
180,16:49:54,5030244,0.26,3.85,23,236,46,16,944,00:00:48,,,
181,16:50:43,5030245,0.26,3.91,21,235,43,20,940,00:00:49,,,
182,16:51:32,5030246,0.25,3.71,21,236,56,20,944,00:00:49,,,
183,16:52:20,5030247,0.26,4.08,23,236,51,16,944,00:00:48,,,
184,16:53:08,5030248,0.26,3.95,22,235,48,19,940,00:00:48,,,
185,16:53:57,5030249,0.26,3.9,22,237,50,19,948,00:00:49,,,
186,16:54:46,5030250,0.26,4.32,24,234,43,15,936,00:00:49,,,
187,16:55:35,5030251,0.25,3.08,23,236,38,20,944,00:00:49,,,
188,16:56:23,5030252,0.26,4.13,22,237,38,15,948,00:00:48,,,
189,16:57:12,5030253,0.26,4.16,24,235,40,13,940,00:00:49,,,
190,16:58:00,5030254,0.26,4.31,22,237,49,13,948,00:00:48,,,
191,16:58:49,5030255,0.26,3.91,24,236,42,14,944,00:00:49,,,
192,16:59:38,5030256,0.26,3.99,24,234,45,17,936,00:00:49,,,
193,17:00:26,5030257,0.26,3.91,21,236,39,18,944,00:00:48,,,
194,17:01:15,5030258,0.26,4.14,23,237,53,17,948,00:00:49,,,
195,17:02:03,5030259,0.26,4.06,24,237,36,16,948,00:00:48,,,
196,17:02:52,5030260,0.26,3.68,23,236,35,16,944,00:00:49,,,
197,17:04:10,5030261,0.25,3.9,21,239,38,19,956,00:01:18,,,
198,17:04:58,5030262,0.26,4.21,23,237,44,13,948,00:00:48,,,
199,17:05:47,5030263,0.26,3.95,21,236,40,18,944,00:00:49,,,
200,17:06:36,5030264,0.26,3.92,22,237,49,18,948,00:00:49,,,
201,17:07:24,5030265,0.26,4.05,23,236,41,17,944,00:00:48,,,
202,17:08:16,5030266,0.26,4.04,23,236,38,18,944,00:00:52,,,
203,17:09:01,5030267,0.26,4.17,26,233,53,18,932,00:00:45,,,
204,17:09:50,5030268,0.26,4.14,23,228,55,11,912,00:00:49,,,
205,17:10:38,5030269,0.26,4,24,236,44,17,944,00:00:48,,,
206,17:11:27,5030270,0.26,4.06,23,236,55,19,944,00:00:49,,,
207,17:12:16,5030271,0.26,4.28,25,237,49,18,948,00:00:49,,,
208,17:13:04,5030272,0.26,4.12,22,236,50,16,944,00:00:48,,,
209,17:13:53,5030273,0.26,3.9,22,235,52,21,940,00:00:49,,,
210,17:14:41,5030274,0.26,4.13,23,237,51,18,948,00:00:48,,,
211,17:17:18,5030275,0.25,4.27,23,228,61,18,912,00:02:37,,,
212,17:18:06,5030276,0.26,3.76,21,237,39,20,948,00:00:48,,,
213,17:18:55,5030277,0.26,3.98,23,237,53,20,948,00:00:49,,,
214,17:19:44,5030278,0.26,4.14,25,233,50,15,932,00:00:49,,,
215,17:20:33,5030279,0.26,4.18,23,236,42,17,944,00:00:49,,,
216,17:21:21,5030280,0.26,4.03,24,236,50,18,944,00:00:48,,,
217,17:22:10,5030281,0.26,4.22,23,235,57,9,940,00:00:49,,,
218,17:24:45,5030282,0.26,4.16,23,241,56,19,964,00:02:35,,,
219,17:25:34,5030283,0.26,4.08,23,237,49,20,948,00:00:49,,,
220,17:26:23,5030284,0.26,3.9,22,237,50,20,948,00:00:49,,,
221,17:27:11,5030285,0.25,3.91,24,236,37,20,944,00:00:48,,,
222,17:28:00,5030286,0.26,4.29,24,237,53,18,948,00:00:49,,,
223,17:28:49,5030287,0.26,4.08,22,237,40,18,948,00:00:49,,,
224,17:29:37,5030288,0.26,4.08,22,236,49,20,944,00:00:48,,,
225,17:30:26,5030289,0.26,3.84,21,235,46,19,940,00:00:49,,,
226,17:33:29,5030290,0.25,4.18,26,234,40,17,936,00:03:03,,,
227,17:34:17,5030291,0.26,3.99,22,237,51,16,948,00:00:48,,,
228,17:35:06,5030292,0.26,4.24,22,237,38,14,948,00:00:49,,,
229,17:35:54,5030293,0.26,4.18,23,235,39,14,940,00:00:48,,,
230,17:36:43,5030294,0.26,4.26,22,236,49,16,944,00:00:49,,,
231,17:37:32,5030295,0.26,4.09,21,236,38,16,944,00:00:49,,,
232,17:38:20,5030296,0.26,4.13,25,236,48,15,944,00:00:48,,,
233,17:39:09,5030297,0.26,3.99,22,236,36,15,944,00:00:49,,,
234,17:39:57,5030298,0.26,4.08,22,236,49,18,944,00:00:48,,,
235,17:40:46,5030299,0.26,3.86,20,233,50,16,932,00:00:49,,,
236,17:41:35,5030300,0.26,4.06,23,236,51,18,944,00:00:49,,,
237,17:42:23,5030301,0.26,4.02,22,236,38,18,944,00:00:48,,,
238,17:43:12,5030302,0.26,4.24,22,236,43,18,944,00:00:49,,,
239,17:44:00,5030303,0.26,4.21,23,237,53,18,948,00:00:48,,,
240,17:44:49,5030304,0.26,4.12,24,236,50,17,944,00:00:49,,,
241,17:45:37,5030305,0.26,3.7,21,237,50,17,948,00:00:48,,,
242,17:46:26,5030306,0.26,4.12,24,236,32,17,944,00:00:49,,,
243,17:47:14,5030307,0.26,4.34,23,236,51,15,944,00:00:48,,,
244,17:48:03,5030308,0.26,4.32,22,234,51,15,936,00:00:49,,,
245,17:48:51,5030309,0.26,3.7,21,236,51,21,944,00:00:48,,,
246,17:49:40,5030310,0.26,4.04,22,237,39,20,948,00:00:49,,,
247,17:50:29,5030311,0.26,4.15,24,235,47,14,940,00:00:49,,,
248,17:51:17,5030312,0.26,4.42,23,236,44,13,944,00:00:48,,,
249,17:52:06,5030313,0.26,4.24,23,236,49,19,944,00:00:49,,,
250,17:52:54,5030314,0.26,3.76,20,234,38,17,936,00:00:48,,,
251,17:53:43,5030315,0.26,3.99,22,237,48,16,948,00:00:49,,,
252,17:54:32,5030316,0.26,3.82,22,235,42,15,940,00:00:49,,,
253,17:55:20,5030317,0.26,4.21,22,236,38,17,944,00:00:48,,,
254,17:56:09,5030318,0.26,4.24,24,237,43,14,948,00:00:49,,,
255,17:56:57,5030319,0.26,4.08,22,236,47,18,944,00:00:48,,,
256,17:57:46,5030320,0.26,4.21,22,236,52,19,944,00:00:49,,,
257,17:58:35,5030321,0.26,3.76,21,234,43,15,936,00:00:49,,,
258,17:59:23,5030322,0.26,4.2,23,235,53,17,940,00:00:48,,,
259,18:00:12,5030323,0.26,4.16,22,237,39,18,948,00:00:49,,,
260,18:01:01,5030324,0.26,4.12,23,235,38,18,940,00:00:49,,,
261,18:01:49,5030325,0.26,4.2,23,236,42,19,944,00:00:48,,,
262,18:02:38,5030326,0.26,4.13,23,236,45,16,944,00:00:49,,,
263,18:03:26,5030327,0.26,3.84,21,237,41,16,948,00:00:48,,,
264,18:04:15,5030328,0.26,4.42,25,236,40,11,944,00:00:49,,,
265,18:05:04,5030329,0.26,4.15,22,236,50,14,944,00:00:49,,,
266,18:05:52,5030330,0.26,4.42,24,236,46,13,944,00:00:48,,,
267,18:06:41,5030331,0.26,4.15,21,232,50,13,928,00:00:49,,,
268,18:07:29,5030332,0.26,4.06,21,237,38,15,948,00:00:48,,,
269,18:08:18,5030333,0.26,4,24,234,50,15,936,00:00:49,,,
270,18:09:07,5030334,0.26,3.95,22,236,52,19,944,00:00:49,,,
271,18:09:55,5030335,0.26,3.91,23,237,51,18,948,00:00:48,,,
272,18:10:44,5030336,0.26,4.15,21,236,49,19,944,00:00:49,,,
273,18:11:32,5030337,0.26,3.98,22,236,50,16,944,00:00:48,,,
274,18:12:21,5030338,0.26,3.97,21,235,54,20,940,00:00:49,,,
275,18:13:10,5030339,0.26,4.05,21,236,51,19,944,00:00:49,,,
276,18:13:58,5030340,0.26,4.06,24,236,49,17,944,00:00:48,,,
277,18:14:47,5030341,0.26,4.23,23,237,38,15,948,00:00:49,,,
278,18:15:35,5030342,0.26,4.03,23,236,50,16,944,00:00:48,,,
279,18:16:24,5030343,0.26,3.85,23,234,50,18,936,00:00:49,,,
280,18:17:12,5030344,0.26,3.81,21,236,44,17,944,00:00:48,,,
281,18:18:01,5030345,0.26,4.15,24,236,39,14,944,00:00:49,,,
282,18:18:49,5030346,0.26,4.27,24,235,52,6,940,00:00:48,,,
283,18:22:01,5030347,0.25,4.24,25,234,52,14,936,00:03:12,,,
284,18:22:50,5030348,0.26,4.15,23,237,51,11,948,00:00:49,,,
285,18:25:46,5030349,0.26,4.3,25,235,56,15,940,00:02:56,,,
286,18:26:35,5030350,0.26,4.39,24,236,44,14,944,00:00:49,,,
287,18:27:24,5030351,0.26,4.31,24,236,43,17,944,00:00:49,,,
288,18:28:12,5030352,0.26,4.16,22,238,47,17,952,00:00:48,,,
289,18:29:01,5030353,0.26,3.94,21,236,47,17,944,00:00:49,,,
290,18:29:49,5030354,0.26,4.25,25,236,50,21,944,00:00:48,,,
291,18:30:38,5030355,0.26,4.08,25,236,43,15,944,00:00:49,,,
292,18:31:27,5030356,0.26,4,21,238,39,17,952,00:00:49,,,
293,18:32:15,5030357,0.26,4.22,22,236,53,19,944,00:00:48,,,
294,18:33:04,5030358,0.26,4.31,25,236,53,20,944,00:00:49,,,
295,18:33:53,5030359,0.26,4.33,22,235,54,21,940,00:00:49,,,
296,18:34:41,5030360,0.26,4.2,25,236,41,20,944,00:00:48,,,
297,18:35:30,5030361,0.26,3.76,21,236,52,20,944,00:00:49,,,
298,18:36:18,5030362,0.26,4.08,21,237,41,16,948,00:00:48,,,
299,18:37:07,5030363,0.26,4.34,23,235,52,16,940,00:00:49,,,
300,18:37:56,5030364,0.26,4.14,24,235,46,16,940,00:00:49,,,
301,18:38:44,5030365,0.26,4.15,22,234,55,17,936,00:00:48,,,
302,18:39:33,5030366,0.26,4.15,21,237,38,18,948,00:00:49,,,
303,18:40:22,5030367,0.26,3.91,21,236,37,20,944,00:00:49,,,
304,18:41:11,5030368,0.26,3.97,21,236,49,20,944,00:00:49,,,
305,18:42:00,5030369,0.26,3.68,21,236,39,18,944,00:00:49,,,
306,18:43:00,5030370,0.26,4.13,25,235,37,15,940,00:01:00,,,
307,18:43:49,5030371,0.26,3.83,20,236,39,18,944,00:00:49,,,
308,18:44:38,5030372,0.26,4.03,23,236,39,20,944,00:00:49,,,
309,18:45:26,5030373,0.26,3.93,23,237,37,16,948,00:00:48,,,
310,18:46:15,5030374,0.26,4.06,22,237,50,20,948,00:00:49,,,
311,18:47:04,5030375,0.26,4.24,21,236,38,19,944,00:00:49,,,
312,18:47:52,5030376,0.26,3.89,22,237,53,20,948,00:00:48,,,
313,18:48:41,5030377,0.26,4.03,23,235,46,20,940,00:00:49,,,
314,18:49:30,5030378,0.26,4.31,26,236,53,19,944,00:00:49,,,
315,18:50:18,5030379,0.26,4.01,23,235,51,21,940,00:00:48,,,
316,18:51:07,5030380,0.26,4.05,22,235,50,18,940,00:00:49,,,
317,19:00:11,5030389,0.26,4.23,22,236,44,18,944,00:09:04,,,
318,19:00:31,5030390,0.26,3.77,20,237,38,16,948,00:00:20,,,
319,19:01:16,5030391,0.25,3.96,23,236,44,18,944,00:00:45,,,
320,19:02:05,5030392,0.26,4.14,21,235,50,19,940,00:00:49,,,
321,19:02:53,5030393,0.26,4,22,237,37,20,948,00:00:48,,,
322,19:03:42,5030394,0.26,4.07,22,236,41,16,944,00:00:49,,,
323,19:04:31,5030395,0.26,3.95,22,235,38,16,940,00:00:49,,,
324,19:05:19,5030396,0.26,4.03,22,236,38,19,944,00:00:48,,,
325,19:06:08,5030397,0.26,4.07,24,236,42,16,944,00:00:49,,,
326,19:16:00,5030404,0.26,4.03,22,235,46,13,940,00:09:52,,,
327,19:16:42,5030405,0.26,3.93,23,236,43,18,944,00:00:42,,,
328,19:17:30,5030406,0.26,4.36,23,235,51,19,940,00:00:48,,,
329,19:18:18,5030407,0.26,3.87,20,237,46,19,948,00:00:48,,,
330,19:19:06,5030408,0.26,3.88,23,237,47,22,948,00:00:48,,,
331,19:19:55,5030409,0.26,3.92,24,237,51,21,948,00:00:49,,,
332,19:20:43,5030410,0.26,4.06,23,238,38,17,952,00:00:48,,,
333,19:21:32,5030411,0.26,4,24,237,43,15,948,00:00:49,,,
334,19:22:20,5030412,0.26,3.74,20,237,46,17,948,00:00:48,,,
335,19:23:08,5030413,0.26,3.96,23,237,48,20,948,00:00:48,,,
336,19:23:56,5030414,0.26,3.98,22,237,50,18,948,00:00:48,,,
337,19:24:44,5030415,0.26,4.07,22,238,52,19,952,00:00:48,,,
338,19:25:33,5030416,0.26,4.2,24,237,50,19,948,00:00:49,,,
339,19:26:21,5030417,0.26,3.91,21,236,40,20,944,00:00:48,,,
340,19:27:09,5030418,0.26,3.97,22,236,50,21,944,00:00:48,,,
341,19:27:58,5030419,0.26,4.13,23,237,51,18,948,00:00:49,,,
342,19:28:47,5030420,0.26,3.83,22,237,39,18,948,00:00:49,,,
343,19:29:35,5030421,0.26,3.92,22,236,50,19,944,00:00:48,,,
344,19:30:23,5030422,0.26,4.05,21,236,52,18,944,00:00:48,,,
345,19:31:12,5030423,0.26,4.33,23,237,39,15,948,00:00:49,,,
346,19:32:00,5030424,0.26,3.98,22,237,46,16,948,00:00:48,,,
347,19:32:48,5030425,0.26,3.9,22,238,49,18,952,00:00:48,,,
348,19:33:37,5030426,0.26,3.94,22,237,43,16,948,00:00:49,,,
349,19:34:25,5030427,0.26,4.12,22,236,43,20,944,00:00:48,,,
350,19:35:13,5030428,0.26,3.74,21,237,49,19,948,00:00:48,,,
351,19:36:02,5030429,0.26,3.91,23,237,48,18,948,00:00:49,,,
352,19:36:50,5030430,0.26,3.84,22,237,36,20,948,00:00:48,,,
353,19:37:38,5030431,0.26,3.99,24,236,49,20,944,00:00:48,,,
354,19:38:27,5030432,0.26,3.85,24,237,48,21,948,00:00:49,,,
355,19:39:15,5030433,0.26,3.91,21,236,36,21,944,00:00:48,,,
356,19:40:04,5030434,0.26,3.76,23,236,48,19,944,00:00:49,,,
